input,steps,np,trial,total_time,sim_time
nb-10,100,1,1,0.005446,0.005245
nb-10,100,1,2,0.000738,0.000560
nb-10,100,1,3,0.000745,0.000572
nb-10,100,1,4,0.004817,0.004634
nb-10,100,1,5,0.000719,0.000555
nb-10,100,2,1,0.016291,0.010623
nb-10,100,2,2,0.448279,0.437353
nb-10,100,2,3,0.109987,0.095936
nb-10,100,2,4,0.033799,0.010569
nb-10,100,2,5,0.171316,0.162483
nb-10,100,4,1,1.251317,1.229533
nb-10,100,4,2,0.679576,0.661071
nb-10,100,4,3,0.466175,0.409545
nb-10,100,4,4,0.890415,0.863043
nb-10,100,4,5,0.201996,0.185415
nb-10,100,8,1,6.015285,5.867020
nb-10,100,8,2,8.409826,8.357284
nb-10,100,8,3,7.308375,7.157971
nb-10,100,8,4,7.241400,7.126139
nb-10,100,8,5,6.062658,6.013258
nb-100,100,1,1,0.031132,0.023435
nb-100,100,1,2,0.047203,0.046542
nb-100,100,1,3,0.037441,0.033803
nb-100,100,1,4,0.048239,0.047638
nb-100,100,1,5,0.024486,0.023810
nb-100,100,2,1,0.089480,0.088869
nb-100,100,2,2,0.080202,0.070545
nb-100,100,2,3,0.314520,0.291263
nb-100,100,2,4,0.149348,0.135417
nb-100,100,2,5,0.176542,0.164340
nb-100,100,4,1,1.806133,1.760066
nb-100,100,4,2,1.202168,1.187572
nb-100,100,4,3,1.132518,1.076408
nb-100,100,4,4,0.843930,0.824999
nb-100,100,4,5,0.354525,0.341127
nb-100,100,8,1,3.362038,3.338634
nb-100,100,8,2,4.033638,3.985045
nb-100,100,8,3,3.143836,3.106027
nb-100,100,8,4,3.456837,3.401910
nb-100,100,8,5,3.622048,3.553666
nb-100000,100,1,1,153.263649,152.760075
nb-100000,100,1,2,144.225565,143.702152
nb-100000,100,1,3,164.700655,164.174987
nb-100000,100,1,4,137.216608,136.731646
nb-100000,100,1,5,144.446428,144.024919
nb-100000,100,2,1,92.388259,91.891732
nb-100000,100,2,2,89.806320,89.455212
nb-100000,100,2,3,85.508259,85.166679
nb-100000,100,2,4,121.396990,120.885811
nb-100000,100,2,5,83.849664,83.429349
nb-100000,100,4,1,64.948782,64.440447
nb-100000,100,4,2,80.770295,80.098924
nb-100000,100,4,3,105.846963,105.390685
nb-100000,100,4,4,80.160857,79.791982
nb-100000,100,4,5,102.674294,102.204159
nb-100000,100,8,1,180.090588,178.228868
nb-100000,100,8,2,219.379466,218.186992
nb-100000,100,8,3,223.809985,222.557566
nb-100000,100,8,4,304.057355,300.190691
nb-100000,100,8,5,328.844651,326.368055
