input,steps,np,trial,total_time,sim_time
nb-10,100,1,1,0.001768,0.001250
nb-10,100,1,2,0.000602,0.000387
nb-10,100,1,3,0.000483,0.000335
nb-10,100,1,4,0.000491,0.000316
nb-10,100,1,5,0.000615,0.000427
nb-10,100,2,1,0.000849,0.000639
nb-10,100,2,2,0.000873,0.000643
nb-10,100,2,3,0.000784,0.000569
nb-10,100,2,4,0.000787,0.000593
nb-10,100,2,5,0.000825,0.000607
nb-10,100,4,1,0.001082,0.000821
nb-10,100,4,2,0.001113,0.000762
nb-10,100,4,3,0.001357,0.000711
nb-10,100,4,4,0.000891,0.000687
nb-10,100,4,5,0.001138,0.000850
nb-10,100,8,1,1.197196,1.181209
nb-10,100,8,2,0.040603,0.037700
nb-10,100,8,3,0.237061,0.224460
nb-10,100,8,4,2.479143,2.471809
nb-10,100,8,5,3.272379,3.242364
nb-100,100,1,1,0.018810,0.013775
nb-100,100,1,2,0.016373,0.015780
nb-100,100,1,3,0.016506,0.015879
nb-100,100,1,4,0.013514,0.012998
nb-100,100,1,5,0.013640,0.013167
nb-100,100,2,1,0.008703,0.008202
nb-100,100,2,2,0.010585,0.010017
nb-100,100,2,3,0.010630,0.010115
nb-100,100,2,4,0.010180,0.009544
nb-100,100,2,5,0.008630,0.008159
nb-100,100,4,1,0.009866,0.009178
nb-100,100,4,2,0.008055,0.007431
nb-100,100,4,3,0.007637,0.007046
nb-100,100,4,4,0.007875,0.007209
nb-100,100,4,5,0.008178,0.007469
nb-100,100,8,1,0.960485,0.950380
nb-100,100,8,2,0.572741,0.539000
nb-100,100,8,3,0.508394,0.498827
nb-100,100,8,4,0.613417,0.607108
nb-100,100,8,5,1.799917,1.789782
nb-100000,100,1,1,180.151812,179.793160
nb-100000,100,1,2,183.302573,182.982600
nb-100000,100,1,3,193.318997,192.956246
nb-100000,100,1,4,182.577660,182.268228
nb-100000,100,1,5,190.244256,189.837666
nb-100000,100,2,1,117.873275,117.498635
nb-100000,100,2,2,113.297615,112.895454
nb-100000,100,2,3,108.340406,108.025719
nb-100000,100,2,4,105.955935,105.622470
nb-100000,100,2,5,107.797224,107.425385
nb-100000,100,4,1,82.235852,81.908976
nb-100000,100,4,2,82.380283,81.883073
nb-100000,100,4,3,70.420788,70.019577
nb-100000,100,4,4,75.001537,74.623387
nb-100000,100,4,5,73.799052,73.404259
nb-100000,100,8,1,131.859248,131.384676
nb-100000,100,8,2,109.337106,108.676586
nb-100000,100,8,3,96.387346,95.690657
nb-100000,100,8,4,144.681365,144.267100
nb-100000,100,8,5,101.512727,100.563024
